<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">notion</span></div><br><div class="mot">In Search of New Forms of Life</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">notion</span></div><br><div class="mot">A la recherche de nouvelles formes de vie</div>;ANGLAIS::niveau::B1 ANGLAIS::type::notion ANGLAIS::Sciences-Tech--Health::Space::In-Search-of-New-Forms-of-Life
<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">an extraterrestrial</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un extraterrestre</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::In-Search-of-New-Forms-of-Life
<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a creature from outer space</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une créature venue de l’espace</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::In-Search-of-New-Forms-of-Life
<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a Martian</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un Martien</div>;ANGLAIS::niveau::A2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::In-Search-of-New-Forms-of-Life
<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a green man</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un homme vert</div>;ANGLAIS::niveau::A2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::In-Search-of-New-Forms-of-Life
<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">an alien</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une créature inconnue</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::In-Search-of-New-Forms-of-Life
<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a flying saucer</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une soucoupe volante</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::In-Search-of-New-Forms-of-Life
<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">an Unidentified Flying Object</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un Objet Volant non identifié</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::In-Search-of-New-Forms-of-Life
<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">abrev</span></div><br><div class="mot">UFO</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > In-Search-of-New-Forms-of-Life</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">abrev</span></div><br><div class="mot">OVNI</div>;ANGLAIS::niveau::B1 ANGLAIS::type::abrev ANGLAIS::Sciences-Tech--Health::Space::In-Search-of-New-Forms-of-Life
